행정구역명,학원-교습소,학원지정번호,학원명,도로명주소,도로명상세주소,분야명,교습계열명,교습과정목록명,교습과정명,정원합계,일시수용능력인원합계,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,등록상태명,등록일자,개설일자,적재일시
동작구,학원,1000036820,대성학원,서울특별시 동작구 노량진로 120,/ 1층~6층 (노량진동/대성학원),입시.검정 및 보습,보통교과,보습/,보습,1200,3029,,Y,N,156800,개원,1965-04-23,1965-04-23,2021-10-17
동작구,학원,1000036979,아하브음악학원,서울특별시 동작구 흑석로 11,/ 3층 (상도1동/ 열린우리교회),예능(대),예능(중),음악/,음악,162,54,,N,N,156830,개원,1979-10-08,1979-10-08,2021-10-17
동작구,학원,1000037115,대산전기학원,서울특별시 동작구 노량진로 104,/ 13층,직업기술,산업기반기술,전기/,전기,1015,210,,Y,N,6928,개원,1981-01-31,1981-01-31,2021-10-31
동작구,학원,1000037447,박문각경찰학원,서울특별시 동작구 노량진로 161,/ 2~3층 (노량진동),인문사회(대),인문사회(중),성인고시/,성인고시,48700,238,,Y,N,6902,개원,1985-09-25,1985-09-25,2021-10-17
동작구,학원,1000037463,아람컴퓨터학원,서울특별시 동작구 동작대로29길 119,우성2단지 상가 404(사당동),직업기술,컴퓨터,컴퓨터(정보처리/통신기기/인터넷/소프트웨어)/,컴퓨터(정보처리/통신기기/인터넷/소프트웨어),600,60,,N,N,156772,개원,1985-12-28,1985-12-28,2021-10-17
동작구,학원,1000037474,미래연미술학원,서울특별시 동작구 사당로16길 80,2층 (사당동),예능(대),예능(중),,미술,100,100,,N,N,156822,개원,1985-10-10,1985-10-10,2021-10-17
동작구,학원,1000037625,한국건축토목학원,서울특별시 동작구 노량진로 169,/ 7층 일부/ 9층 (노량진동/ 순만빌딩),종합(대),,토목/건축/,,1025,213,,N,N,156801,개원,1986-11-11,1986-11-11,2021-10-17
동작구,학원,1000037628,비젼독서실,서울특별시 동작구 만양로14사길 10,1-4층 (노량진동),독서실,독서실(중),,독서실(일반인),298,149,,N,N,156802,개원,1986-11-17,1986-11-17,2021-10-17
동작구,학원,1000037799,열린이화음악학원,서울특별시 동작구 동작대로11길 104,3층(사당동),예능(대),예능(중),음악/,음악,81,27,,N,N,156823,개원,1987-11-02,1987-11-02,2021-10-17
동작구,학원,1000037922,해성속셈학원,서울특별시 동작구 성대로29길 63,2층 (상도동),기타(대),기타(중),속셈/,속셈,360,180,,N,N,156840,개원,1988-08-18,1988-08-18,2021-10-17
동작구,학원,1000037941,모스트학원,서울특별시 동작구 사당로 226,/ 3층 (사당동),입시.검정 및 보습,보통교과,보습/,보습,483,69,,Y,N,7010,개원,1988-11-19,1988-11-19,2021-10-17
동작구,학원,1000037954,모짜르트음악학원,서울특별시 동작구 여의대방로 22,우성상가304호 (신대방동),예능(대),예능(중),음악/,음악,192,24,,Y,N,156852,개원,1988-12-07,1988-12-07,2021-10-17
동작구,학원,1000037956,참음악학원,서울특별시 동작구 성대로 69,(상도동),예능(대),예능(중),음악/,음악,990,110,,N,N,156843,개원,1988-12-07,1988-12-07,2021-10-17
동작구,학원,1000037971,꿈이찬보습학원,서울특별시 동작구 성대로 59,2층(상도동),입시.검정 및 보습,보통교과,보습/,보습,400,50,,Y,N,156844,개원,1988-04-15,1988-04-15,2021-10-17
동작구,학원,1000038108,아카데미라운지노량진독서실,서울특별시 동작구 만양로18길 39,/ 2~6층 (노량진동),독서실,독서실(중),독서실(일반인)/,독서실(일반인),2120,212,,Y,N,6913,개원,1989-04-01,2006-05-25,2021-10-17
동작구,학원,1000038133,한솔독서실,서울특별시 동작구 만양로14바길 4,1-5층 (노량진동),독서실,독서실(중),독서실(일반인)/,독서실(일반인),480,160,,N,,156802,개원,1989-07-08,2007-01-04,2021-10-17
동작구,학원,1000038163,고운독서실,서울특별시 동작구 만양로14마길 24,(노량진동),독서실,독서실(중),독서실(일반인)/,독서실(일반인),35,35,,N,,156802,개원,1989-10-21,1989-10-21,2021-10-17
동작구,학원,1000038167,지스쿨서울학원,서울특별시 동작구 노량진로 158,/ 3층일부/ 4층~6층 (노량진동),인문사회(대),인문사회(중),성인고시/,성인고시,28800,970,,Y,N,6922,개원,1989-11-13,1989-11-13,2021-10-17
동작구,학원,1000038285,동아음악학원,서울특별시 동작구 신대방2길 13,3층 (신대방동),예능(대),예능(중),음악/,음악,960,60,,N,N,156853,개원,1989-04-18,1989-04-18,2021-10-17
동작구,학원,1000038292,춤아리무용학원,서울특별시 동작구 현충로 119,4층(흑석동/명수대현대아파트),예능(대),예능(중),무용/,무용,624,50,,Y,N,156791,개원,1989-05-02,1989-05-02,2021-10-17
동작구,학원,1000038368,현대이화음악학원,서울특별시 동작구 현충로 153,한강현대상가3층(흑성동),예능(대),예능(중),음악/,음악,46,104,,N,N,156857,개원,1989-09-25,1989-09-25,2021-10-17
동작구,학원,1000038485,박문각임용고시학원,서울특별시 동작구 노량진로 171,/ 1층일부/ 2~10층,인문사회(대),인문사회(중),성인고시/,성인고시,18228,588,,Y,N,6902,개원,1989-05-29,1989-05-29,2021-10-17
동작구,학원,1000038554,새현대속셈학원,서울특별시 동작구 현충로 151,한강현대상가3층(흑석동),기타(대),기타(중),속셈/,속셈,90,90,,N,N,156792,개원,1989-09-30,1989-09-30,2021-10-17
동작구,학원,1000038984,파랑새음악학원,서울특별시 동작구 여의대방로24길 54,2층(신대방동),예능(대),예능(중),음악/,음악,80,20,,N,N,156848,개원,1990-01-17,1990-01-17,2021-10-17
동작구,학원,1000039070,라라음악학원,서울특별시 동작구 사당로16가길 42,(사당동),예능(대),예능(중),음악/,음악,90,30,,,N,156821,개원,1990-04-26,1990-04-26,2021-10-17
